Gene Name	 Locus Tag (prokka_output)	Locus Tag (K12 reference)	Start of Gene	End of Gene	Strand	UniProt ID	Protein Product
accA	FJKNNBLA_00182	b0185	211463	212422	1	P0ABD5	acetyl-CoA carboxyltransferase subunit alpha
ldcC	FJKNNBLA_00183	b0186	212521	214662	1	P52095	lysine decarboxylase 2
yaeR	FJKNNBLA_00184	b0187	214719	215108	1	P52096	VOC domain-containing protein YaeR
tilS	FJKNNBLA_00185	b0188	215173	216471	1	P52097	tRNA(Ile)-lysidine synthetase
rof	FJKNNBLA_00186	b0189	216780	216520	-1	P0AFW8	modulator of Rho-dependent transcription termination
yaeP	FJKNNBLA_00187	b4406	216967	216767	-1	P0A8K5	UPF0253 family protein YaeP
yaeQ	FJKNNBLA_00188	b0190	217133	217678	1	P0AA97	uncharacterized protein YaeQ
arfB	FJKNNBLA_00189	b0191	217675	218097	1	P40711	peptidyl-tRNA hydrolase, ribosome rescue factor
nlpE	FJKNNBLA_00190	b0192	218111	218821	1	P40710	sensor lipoprotein NlpE
yaeF	FJKNNBLA_00191	b0193	219845	219021	-1	P37056	peptidase C92 family protein YaeF
proS	FJKNNBLA_00192	b0194	221616	219898	-1	P16659	proline--tRNA ligase
trmO	FJKNNBLA_00193	b0195	222434	221727	-1	P28634	tRNA m(6)t(6)A37 methyltransferase
rcsF	FJKNNBLA_00194	b0196	222835	222431	-1	P69411	sensor lipoprotein RcsF
metQ	FJKNNBLA_00195	b0197	223768	222953	-1	P28635	L-methionine/D-methionine ABC transporter membrane anchored binding protein
metI	FJKNNBLA_00196	b0198	224461	223808	-1	P31547	L-methionine/D-methionine ABC transporter membrane subunit
metN	FJKNNBLA_00197	b0199	225485	224454	-1	P30750	L-methionine/D-methionine ABC transporter ATP binding subunit
gmhB	FJKNNBLA_00198	b0200	225673	226245	1	P63228	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
dkgB	FJKNNBLA_00205	b0207	232091	232894	1	P30863	methylglyoxal reductase DkgB
yafC	FJKNNBLA_00206	b0208	233805	232891	-1	P30864	LysR family transcriptional regulator YafC
yafD	FJKNNBLA_00207	b0209	234067	234846	1	P0A8U2	endonuclease/exonuclease/phosphatase domain-containing protein YafD
mltD	FJKNNBLA_00209	b0211	236741	235521	-1	P0AEZ7	membrane-bound lytic murein transglycosylase D
gloB	FJKNNBLA_00210	b0212	237706	236951	-1	P0AC84	hydroxyacylglutathione hydrolase GloB
yafS	FJKNNBLA_00211	b0213	237740	238462	1	P75672	putative S-adenosyl-L-methionine-dependent methyltransferase
rnhA	FJKNNBLA_00212	b0214	238926	238459	-1	P0A7Y4	ribonuclease HI
dnaQ	FJKNNBLA_00213	b0215	238982	239722	1	P03007	DNA polymerase III subunit epsilon
yafT	FJKNNBLA_00215	b0217	240261	241046	1	P77339	lipoprotein YafT
FJKNNBLA_00218	FJKNNBLA_00218	N/A	242029	242382	1	N/A	['hypothetical protein']
yafV	FJKNNBLA_00220	b0219	244760	243990	-1	Q47679	2-oxoglutaramate amidase
ivy	FJKNNBLA_00221	b0220	244941	245387	1	P0AD59	periplasmic chaperone, inhibitor of vertebrate C-type lysozyme
fadE	FJKNNBLA_00222	b0221	247874	245430	-1	Q47146	acyl-CoA dehydrogenase
gmhA	FJKNNBLA_00223	b0222	248114	248692	1	P63224	D-sedoheptulose 7-phosphate isomerase
yafJ	FJKNNBLA_00224	b0223	248898	249665	1	Q47147	putative glutamine amidotransferase YafJ
yafK	FJKNNBLA_00225	b0224	250376	249636	-1	P0AA99	L,D-transpeptidase domain-containing protein LdtF
yafQ	FJKNNBLA_00226	b0225	250810	250532	-1	Q47149	ribosome-dependent mRNA interferase toxin YafQ
dinJ	FJKNNBLA_00227	b0226	251073	250813	-1	Q47150	antitoxin/DNA-binding transcriptional repressor DinJ
yafL	FJKNNBLA_00228	b0227	251259	252032	1	Q47151	NlpC/P60 family protein YafL
rayT	FJKNNBLA_00229	b0228	252208	252705	1	Q47152	REP-associated tyrosine transposase
flhA	FJKNNBLA_00230	b1879	254660	252921	-1	P76298	flagellar biosynthesis protein FlhA
motB	FJKNNBLA_00231	b1889	254755	255390	1	P0AF06	motility protein B
dinB	FJKNNBLA_00232	b0231	255461	256516	1	Q47155	DNA polymerase IV
yafN	FJKNNBLA_00233	b0232	256568	256861	1	Q47156	antitoxin YafN
yafO	FJKNNBLA_00234	b0233	256864	257262	1	Q47157	ribosome-dependent mRNA interferase toxin YafO
yafP	FJKNNBLA_00235	b0234	257350	257724	1	Q47158	putative acyltransferase with acyl-CoA N-acyltransferase domain
pepD	FJKNNBLA_00238	b0237	260207	258750	-1	P15288	peptidase D
gpt	FJKNNBLA_00239	b0238	260468	260926	1	P0A9M5	xanthine-guanine phsophoribosyltransferase
frsA	FJKNNBLA_00240	b0239	261018	262262	1	P04335	fermentation-respiration switch protein
phoE	FJKNNBLA_00244	b0241	264592	263555	-1	P02932	outer membrane porin PhoE
proB	FJKNNBLA_00245	b0242	264880	265983	1	P0A7B5	glutamate 5-kinase
proA	FJKNNBLA_00246	b0243	265995	267248	1	P07004	glutamate-5-semialdehyde dehydrogenase
yagP	FJKNNBLA_00248	b0282	267975	267565	-1	P75684	putative LysR family substrate binding domain-containing protein YagP
paoD	FJKNNBLA_00249	b0283	268910	267954	-1	P77183	molybdenum cofactor insertion chaperone PaoD
paoC	FJKNNBLA_00250	b0284	271118	268920	-1	P77489	aldehyde dehydrogenase:molybdenum cofactor-binding subunit
paoB	FJKNNBLA_00251	b0285	272071	271115	-1	P77324	aldehyde dehydrogenase,FAD-binding subunit
paoA	FJKNNBLA_00252	b0286	272757	272068	-1	P77165	aldehyde dehydrogenase,Fe-S subunit
yagU	FJKNNBLA_00253	b0287	273174	273788	1	P0AAA1	inner membrane protein that contributes to acid resistance
ecpE	FJKNNBLA_00254	b0289	275387	274677	-1	P77263	putative fimbrial chaperone EcpE
ecpD	FJKNNBLA_00255	b0290	276999	275356	-1	P77694	fimbrial adhesin EcpD
ecpC	FJKNNBLA_00256	b0291	279514	276989	-1	P77802	putative fimbrial usher protein EcpC
ecpB	FJKNNBLA_00257	b0292	280208	279540	-1	P77188	putative fimbrial chaperone EcpB
ecpA	FJKNNBLA_00258	b0293	280901	280266	-1	P0AAA3	common pilus major subunit
ecpR	FJKNNBLA_00259	b0294	281469	280927	-1	P71301	DNA-binding transcriptional dual regulator MatA
ykgO	FJKNNBLA_00260	b4506	282694	282554	-1	Q2EEQ2	50S ribosomal subunit protein L36B
ykgM	FJKNNBLA_00261	b0296	282960	282694	-1	P0A7N1	50S ribosomal subunit protein L31B
ykgR	FJKNNBLA_00262	b4671	283422	283321	-1	C1P5Z8	putative membrane protein YkgR
FJKNNBLA_00263	FJKNNBLA_00263	N/A	284537	288793	1	N/A	['hypothetical protein']
rob	FJKNNBLA_00265	b4396	289784	288933	-1	P0ACI0	DNA-binding transcriptional dual regulator Rob
rclC	FJKNNBLA_00266	b0301	290968	290375	-1	P75685	reactive chlorine species resistance protein C
rclA	FJKNNBLA_00267	b0304	292650	291325	-1	P77212	cupric reductase RclA
rclR	FJKNNBLA_00268	b0305	292876	293730	1	P77379	DNA-binding transcriptional activator RclR
ykgE	FJKNNBLA_00269	b0306	294257	294976	1	P77252	putative lactate utilization oxidoreductase YkgE
ykgF	FJKNNBLA_00270	b0307	294987	296414	1	P77536	putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain
ykgG	FJKNNBLA_00271	b0308	296407	297102	1	P77433	DUF162 domain-containing lactate utilization protein YkgG
ykgH	FJKNNBLA_00272	b0310	298013	297345	-1	P77180	uncharacterized protein YkgH
betA	FJKNNBLA_00273	b0311	299896	298226	-1	P17444	choline dehydrogenase
betB	FJKNNBLA_00274	b0312	301382	299910	-1	P17445	betaine aldehyde dehydrogenase
betI	FJKNNBLA_00275	b0313	301983	301396	-1	P17446	DNA-binding transcriptional repressor BetI
betT	FJKNNBLA_00276	b0314	302112	304145	1	P0ABC9	choline:H(+)symporter
pdeL	FJKNNBLA_00277	b0315	305020	306108	1	P21514	DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL
yahB	FJKNNBLA_00278	b0316	307082	306150	-1	P77700	putative LysR-type DNA-binding transcriptional regulator YahB
yahC	FJKNNBLA_00279	b0317	307671	307174	-1	P77219	uncharacterized protein YahC
yahD	FJKNNBLA_00280	b0318	307929	308534	1	P77736	ankyrin repeat-containing protein YahD
yahE	FJKNNBLA_00281	b0319	308574	309437	1	P77297	DUF2877 domain-containing protein YahE
yahF	FJKNNBLA_00282	b0320	309427	310974	1	P77187	putative acyl-CoA synthetase YahF
yahG	FJKNNBLA_00283	b0321	310974	312392	1	P77221	DUF1116 domain-containing protein YahG
yahH	FJKNNBLA_00284	b0322	312418	312738	1	Q2EEQ3	putative uncharacterized protein YahH
yahI	FJKNNBLA_00285	b0323	312814	313764	1	P77624	carbamate kinase-like protein YahI
yahJ	FJKNNBLA_00286	b0324	313774	315156	1	P77554	putative deaminase with metallo-dependent hydrolase domain
yahK	FJKNNBLA_00287	b0325	315533	316582	1	P75691	aldehyde reductase,NADPH-dependent
yahL	FJKNNBLA_00288	b0326	316826	317641	1	P77393	uncharacterized protein YahL
yahN	FJKNNBLA_00290	b0328	318948	318316	-1	P75693	putative amino acid exporter YahN
yahO	FJKNNBLA_00291	b0329	319134	319409	1	P75694	DUF1471 domain-containing protein YahO
prpR	FJKNNBLA_00292	b0330	321093	319507	-1	P77743	DNA-binding transcriptional dual regulator PrpR
prpB	FJKNNBLA_00293	b0331	321332	322222	1	P77541	2-methylisocitrate lyase
prpC	FJKNNBLA_00295	b0333	322662	323831	1	P31660	2-methylcitrate synthase
prpD	FJKNNBLA_00296	b0334	323865	325316	1	P77243	2-methylcitrate dehydratase
prpE	FJKNNBLA_00297	b0335	325356	327242	1	P77495	propionyl-CoA synthetase
codB	FJKNNBLA_00298	b0336	327478	328737	1	P0AA82	cytosine transporter
codA	FJKNNBLA_00299	b0337	328727	330010	1	P25524	cytosine/isoguanine deaminase
